                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3261,                 1.6798,                 1.1437,                 0.5333,                0.61996,                0.52099,                0.32083,                  1.254,                 1.2549,                 1.1123,             0.00041443,             0.00041443,             0.00041443
                      2,                 1.2891,                  1.337,                 1.1372,                0.47996,                 0.5348,                0.45603,                0.28152,                 1.2591,                 1.4238,                 1.1515,             0.00082287,             0.00082287,             0.00082287
                      3,                 1.2857,                  1.266,                 1.1369,                0.52865,                0.50622,                0.45599,                0.26397,                 1.3037,                  1.323,                  1.144,              0.0012231,              0.0012231,              0.0012231
                      4,                 1.2578,                  1.232,                 1.1267,                0.55767,                 0.5555,                 0.5153,                0.30756,                 1.2534,                 1.2937,                 1.1204,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2625,                 1.2637,                 1.1347,                0.59356,                0.57372,                0.55286,                0.33924,                 1.1855,                 1.2047,                 1.0884,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.2333,                 1.1813,                 1.1173,                0.59074,                0.58867,                 0.5726,                0.35588,                 1.1937,                 1.1818,                 1.0933,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.2029,                 1.1359,                 1.1141,                0.56075,                0.59159,                0.55504,                0.34987,                 1.1973,                 1.3586,                  1.106,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.2033,                 1.1017,                  1.094,                0.64841,                0.50768,                 0.5637,                0.35962,                  1.167,                 1.2306,                 1.0822,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.1683,                 1.0586,                 1.0867,                0.60531,                0.58963,                0.57965,                 0.3739,                 1.1602,                 1.1674,                 1.0776,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1541,                 1.0392,                  1.075,                0.61648,                0.65182,                0.63049,                0.41446,                 1.1421,                 1.1588,                 1.0605,               0.001151,               0.001151,               0.001151
                     11,                  1.161,                 1.0588,                 1.0884,                0.59007,                0.62527,                0.59188,                0.37498,                 1.1534,                 1.1467,                 1.0769,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1367,                 1.0295,                 1.0777,                0.63869,                0.60349,                 0.6185,                0.41003,                 1.1413,                 1.1467,                 1.0674,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1221,                 1.0014,                 1.0699,                0.66532,                0.60093,                0.62446,                0.40067,                 1.1749,                 1.1482,                 1.0747,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0989,                0.94963,                 1.0507,                0.62887,                0.61177,                 0.5996,                0.37316,                 1.1924,                 1.1575,                 1.0845,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0945,                0.95692,                 1.0644,                0.58181,                0.59937,                0.58066,                0.37356,                 1.1943,                 1.2887,                 1.0868,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0818,                0.92552,                 1.0464,                0.66048,                0.59063,                0.60137,                0.39043,                  1.154,                 1.2259,                 1.0681,              0.0010768,              0.0010768,              0.0010768
                     17,                  1.081,                 0.9367,                 1.0517,                0.61919,                 0.6143,                0.61386,                0.40497,                 1.1649,                 1.1874,                 1.0716,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0574,                0.88636,                 1.0405,                0.60151,                0.59343,                0.58633,                0.37625,                 1.1602,                 1.1679,                 1.0788,               0.001052,               0.001052,               0.001052
                     19,                  1.057,                0.88925,                  1.049,                0.57263,                0.57731,                0.57358,                0.36905,                  1.165,                 1.3527,                 1.0756,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0375,                0.84371,                 1.0267,                0.62746,                0.61246,                0.59204,                0.39347,                 1.1429,                  1.238,                 1.0601,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0299,                0.84535,                 1.0257,                0.65622,                0.63744,                0.63523,                0.41714,                 1.1405,                 1.1984,                 1.0626,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0078,                 0.7966,                 1.0116,                0.65041,                0.60806,                 0.6221,                0.40479,                 1.1381,                 1.3215,                 1.0671,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0168,                 0.7929,                 1.0201,                0.67369,                0.58062,                0.60247,                0.38371,                 1.1622,                 1.2502,                 1.0677,             0.00099013,             0.00099013,             0.00099013
                     24,                0.97971,                0.77251,                 1.0105,                0.61533,                0.57353,                0.59062,                0.37994,                 1.1613,                 1.3527,                 1.0712,             0.00097775,             0.00097775,             0.00097775
                     25,                0.97673,                 0.7668,                  1.013,                0.63451,                0.59384,                0.60181,                0.39235,                 1.1485,                  1.258,                 1.0643,             0.00096537,             0.00096537,             0.00096537
                     26,                0.95868,                0.75345,                 1.0083,                 0.6582,                0.59884,                0.59696,                0.38558,                 1.1624,                 1.3826,                 1.0728,               0.000953,               0.000953,               0.000953
                     27,                0.95763,                0.75225,                 1.0049,                0.64807,                0.57792,                0.57735,                0.37072,                 1.1583,                 1.3595,                 1.0688,             0.00094062,             0.00094062,             0.00094062
                     28,                0.93672,                0.72556,                 0.9869,                0.69262,                0.58938,                0.60558,                 0.3894,                 1.1816,                   1.38,                 1.0811,             0.00092825,             0.00092825,             0.00092825
